Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1788384592.410	  9356.004	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 43 --d-model 192 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 140000 --max-eval-sents 1500 --token-points 8000 16000 32000 64000 104000 --json research/findings/raw/_gen_cortex_capacity_rung/armB_d192_matched_seed43.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armB_seed43.log 2>&1
7	:	1788384592.407	  9556.690	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 42 --d-model 192 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 140000 --max-eval-sents 1500 --token-points 8000 16000 32000 64000 104000 --json research/findings/raw/_gen_cortex_capacity_rung/armB_d192_matched_seed42.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armB_seed42.log 2>&1
1	:	1788384592.394	 12145.590	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 42 --d-model 96 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 220000 --max-eval-sents 1500 --token-points 48000 72000 96000 128000 160000 --json research/findings/raw/_gen_cortex_capacity_rung/armA_d96_extended_seed42.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armA_seed42.log 2>&1
4	:	1788384592.400	 12442.976	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 100 --d-model 96 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 220000 --max-eval-sents 1500 --token-points 48000 72000 96000 128000 160000 --json research/findings/raw/_gen_cortex_capacity_rung/armA_d96_extended_seed100.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armA_seed100.log 2>&1
6	:	1788384592.404	 12589.516	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 102 --d-model 96 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 220000 --max-eval-sents 1500 --token-points 48000 72000 96000 128000 160000 --json research/findings/raw/_gen_cortex_capacity_rung/armA_d96_extended_seed102.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armA_seed102.log 2>&1
3	:	1788384592.397	 12758.098	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 44 --d-model 96 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 220000 --max-eval-sents 1500 --token-points 48000 72000 96000 128000 160000 --json research/findings/raw/_gen_cortex_capacity_rung/armA_d96_extended_seed44.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armA_seed44.log 2>&1
5	:	1788384592.402	 12902.472	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 101 --d-model 96 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 220000 --max-eval-sents 1500 --token-points 48000 72000 96000 128000 160000 --json research/findings/raw/_gen_cortex_capacity_rung/armA_d96_extended_seed101.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armA_seed101.log 2>&1
2	:	1788384592.396	 12921.515	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 43 --d-model 96 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 220000 --max-eval-sents 1500 --token-points 48000 72000 96000 128000 160000 --json research/findings/raw/_gen_cortex_capacity_rung/armA_d96_extended_seed43.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armA_seed43.log 2>&1
9	:	1788393948.448	  6898.226	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 44 --d-model 192 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 140000 --max-eval-sents 1500 --token-points 8000 16000 32000 64000 104000 --json research/findings/raw/_gen_cortex_capacity_rung/armB_d192_matched_seed44.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armB_seed44.log 2>&1
10	:	1788394149.107	  6841.378	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 100 --d-model 192 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 140000 --max-eval-sents 1500 --token-points 8000 16000 32000 64000 104000 --json research/findings/raw/_gen_cortex_capacity_rung/armB_d192_matched_seed100.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armB_seed100.log 2>&1
11	:	1788396738.012	  5279.455	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 101 --d-model 192 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 140000 --max-eval-sents 1500 --token-points 8000 16000 32000 64000 104000 --json research/findings/raw/_gen_cortex_capacity_rung/armB_d192_matched_seed101.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armB_seed101.log 2>&1
12	:	1788397035.390	  5094.225	0	0	0	0	cd /home/dant123/Projects/sim-worktrees/gen-cortex-fluency-next-rung && CUDA_VISIBLE_DEVICES="" OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 SIM_BACKEND=numpy .venv/bin/python -u -m research.runners._gen_cortex_token_supply_scaling_derisk --corpus /home/dant123/Projects/sim/data/corpus/wikitext103.txt --seeds 102 --d-model 192 --vocab 2000 --epochs 6 --batch 256 --max-len 40 --n-sentences 140000 --max-eval-sents 1500 --token-points 8000 16000 32000 64000 104000 --json research/findings/raw/_gen_cortex_capacity_rung/armB_d192_matched_seed102.json > research/findings/raw/_gen_cortex_capacity_rung/logs/armB_seed102.log 2>&1
